fname	lname	city	order_amount
Mary	Smith	Caguas	929.9300000000001
Debra	Smith	Humacao	929.9300000000001
Mary	Austin	Brooklyn	929.9300000000001
Emily	Gould	Ontario	929.9300000000001
Jacob	Harris	San Francisco	929.9300000000001
Mary	Mullins	Los Angeles	929.9300000000001
Mary	Gibbs	Caguas	929.9300000000001
Mary	Herman	Chicago	929.9300000000001
Mary	Smith	Caguas	929.9300000000001
Sharon	Choi	Raleigh	929.9300000000001
Christopher	Smith	Los Angeles	929.9300000000001
Danielle	Bell	Oceanside	929.9300000000001
Amy	Smith	Caguas	929.9300000000001
Gregory	Dominguez	Caguas	929.9300000000001
Steven	Humphrey	Brooklyn	929.9300000000001
George	Porter	West Orange	929.9300000000001
Mary	Smith	Massillon	929.9300000000001
Harold	Smith	Florissant	929.9300000000001
Catherine	Pacheco	Caguas	929.9300000000001
Mary	Cooley	Salt Lake City	929.9300000000001
Bruce	Mccullough	Caguas	929.9300000000001
Mary	Richmond	Virginia Beach	929.9300000000001
Mary	Wilson	Jacksonville	929.9300000000001
Mary	Smith	Lansdale	929.9300000000001
Grace	Jefferson	Caguas	929.9300000000001
Donald	Smith	Denton	929.9300000000001
Sharon	Smith	Cleveland	929.9300000000001
Mary	Park	Miami	929.9300000000001
Mary	Hogan	Chicago	929.9300000000001
Mary	Hill	Caguas	929.9300000000001
Mary	Powell	Caguas	929.9300000000001
Jesse	Mack	Augusta	929.9300000000001
Jennifer	Smith	Carson	929.9300000000001
Christina	Smith	Lompoc	929.9300000000001
Mary	Harper	Los Angeles	929.9300000000001
Joseph	Lucero	Miami	929.9300000000001
Nathan	Smith	Caguas	929.9300000000001
Zachary	Smith	Caguas	929.9300000000001
Arthur	Smith	Tampa	929.9300000000001
Stephen	Smith	Plano	929.9300000000001
Stephanie	Smith	Caguas	929.9300000000001
Matthew	Bush	Caguas	929.9300000000001
Benjamin	Wilson	Caguas	929.9200000000001
Ethan	Smith	Pawtucket	929.9200000000001
Mary	Copeland	Caguas	929.9200000000001
Mary	Perez	Elk Grove	929.9200000000001
Mary	Smith	Atlanta	929.9200000000001
Mary	Henderson	Warren	929.9200000000001
Walter	Perez	Philadelphia	929.9200000000001
Crystal	Smith	Caguas	929.9200000000001
Brian	Rice	Denver	929.9200000000001
Mary	Smith	Salt Lake City	929.9200000000001
Tyler	Shields	Caguas	929.9200000000001
Alexander	Smith	National City	929.9200000000001
Mary	Smith	Clearfield	929.9200000000001
Alexander	Pugh	Hilliard	929.9200000000001
Mary	Pearson	Caguas	929.9200000000001
Adam	Blair	Fort Lauderdale	929.9200000000001
Lori	Chase	Milwaukee	929.9200000000001
Heather	Smith	Honolulu	929.9200000000001
Terry	Smith	Salem	929.9200000000001
Mary	Smith	Phoenix	929.9200000000001
Mary	Watkins	Princeton	929.9200000000001
Mary	Maldonado	Saint Charles	929.9200000000001
Mary	Moon	Pasadena	929.9200000000001
Anna	Horn	Escondido	929.9200000000001
Mary	Smith	Caguas	929.9200000000001
Peter	Daniels	Powder Springs	929.9200000000001
Richard	Smith	Elk Grove	929.9200000000001
Scott	Smith	Salt Lake City	929.9200000000001
Melissa	Smith	Caguas	929.9200000000001
Mary	Palmer	Elgin	929.9200000000001
Grace	Miles	Union City	929.9200000000001
Mary	Hendricks	Caguas	929.9200000000001
Adam	Petersen	Norfolk	929.9200000000001
Mary	Smith	Long Beach	929.9200000000001
Mary	Barton	Caguas	929.9200000000001
Dorothy	Smith	Las Vegas	929.9200000000001
Richard	Parker	Caguas	929.9200000000001
Frank	Barrett	Fullerton	929.9200000000001
Mary	Smith	Bronx	929.9200000000001
Mary	Frederick	Santa Cruz	929.9200000000001
Joseph	Hoffman	Newark	929.9200000000001
Henry	Smith	Chicago	929.9200000000001
Mary	Smith	Caguas	929.9200000000001
Philip	Anderson	Atlanta	929.9200000000001
Steven	Smith	Simi Valley	929.9200000000001
John	Smith	Hollywood	929.9200000000001
Mary	Bowen	Laguna Hills	929.9200000000001
Mary	Gaines	Caguas	929.9200000000001
Mary	Tyler	Tulare	929.92
Mary	Smith	Los Angeles	929.92
Mary	Baxter	Caguas	929.9100000000001
Shawn	Moreno	Fresno	929.9100000000001
Virginia	Cantrell	Sacramento	929.9100000000001
Sharon	Jenkins	Caguas	929.9100000000001
Julie	Smith	Pomona	929.9100000000001
Sean	Smith	Caguas	929.9100000000001
Elizabeth	Smith	Wichita	929.9100000000001
Mary	Baker	Santa Cruz	929.9100000000001
Shirley	Perez	Irving	929.9100000000001
Mary	Campos	Kent	929.9100000000001
James	Smith	Far Rockaway	929.9100000000001
Mary	Giles	Miami	929.9100000000001
Melissa	Smith	Murfreesboro	929.9100000000001
Harry	Smith	Stockton	929.9100000000001
Mary	Smith	Powder Springs	929.9100000000001
Patricia	Smith	Rome	929.9100000000001
Eric	Smith	Tustin	929.9100000000001
Mary	Smith	Bloomfield	929.9100000000001
Judy	Smith	Bell Gardens	929.9100000000001
Sharon	Wood	Caguas	929.9100000000001
Donald	Anderson	Caguas	929.9100000000001
Ralph	Oliver	Caguas	929.9100000000001
Crystal	Hamilton	Las Vegas	929.9100000000001
Teresa	Edwards	Caguas	929.9100000000001
Jack	Smith	Saint Charles	929.9100000000001
Mary	Steele	Chicago	929.9100000000001
Mary	Smith	Caguas	929.9100000000001
Rachel	Smith	Pittsburg	929.9100000000001
Mary	Johnson	Caguas	929.9100000000001
Shirley	Miller	Caguas	929.9100000000001
Jacqueline	Shaw	Henrico	929.9100000000001
Benjamin	Cole	Temecula	929.9100000000001
Mary	Parker	Caguas	929.9100000000001
Eric	Richardson	Saint Paul	929.9100000000001
Lisa	Garcia	New York	929.9100000000001
Aaron	Smith	New York	929.9100000000001
Mary	Smith	York	929.9100000000001
Susan	Owen	Caguas	929.9100000000001
Mary	Weiss	Huntington Beach	929.9100000000001
Patrick	Smith	Fort Lauderdale	929.9100000000001
Mary	Byrd	Martinsburg	929.9100000000001
Mary	Smith	Chicago	929.9100000000001
Christina	Ewing	Lewisville	929.9100000000001
Mary	Patterson	Meridian	929.9100000000001
Betty	Smith	El Centro	929.9100000000001
Mary	Smith	Caguas	929.9100000000001
Susan	Meyer	Caguas	929.9100000000001
Juan	Smith	Caguas	929.9000000000001
Kyle	Johns	Los Angeles	929.9000000000001
Mary	Walton	Caguas	929.9000000000001
Mary	Clayton	Caguas	929.9000000000001
Mary	Smith	Brandon	929.9000000000001
Betty	Lester	Ann Arbor	929.9000000000001
Edward	Smith	Irwin	929.9000000000001
Kenneth	Martin	Caguas	929.9000000000001
Grace	Gould	Quincy	929.9000000000001
Mary	Madden	Caguas	929.9000000000001
Patricia	Smith	Fort Lauderdale	929.9000000000001
Mary	Acevedo	Richmond	929.9000000000001
Joshua	Smith	Honolulu	929.9000000000001
Janet	Carter	Hamilton	929.9000000000001
Mary	Smith	Bronx	929.9000000000001
Walter	Parker	Arecibo	929.9000000000001
Emily	Smith	Caguas	929.9000000000001
Mary	Adams	Caguas	929.9000000000001
Jeffrey	Lewis	Colorado Springs	929.9000000000001
Harry	Schaefer	Baltimore	929.9000000000001
Mary	Gibbs	Caguas	929.9000000000001
Mary	Davidson	Mayaguez	929.9000000000001
Scott	Smith	Brooklyn	929.9000000000001
Timothy	Rojas	Caguas	929.9000000000001
Walter	Hamilton	Caguas	929.9000000000001
Karen	Smith	East Lansing	929.9000000000001
Mary	White	Dallas	929.9
Andrea	Maldonado	Caguas	929.9
Heather	Smith	West Orange	929.9
Timothy	Wall	Des Plaines	929.8900000000001
Mary	Mendoza	Simi Valley	929.8900000000001
Robert	Deleon	San Juan	929.8900000000001
Mary	Barnett	Astoria	929.8900000000001
Mary	Stanley	Atlanta	929.8900000000001
John	Smith	Caguas	929.8900000000001
Michelle	Smith	Caguas	929.8900000000001
Sarah	Browning	Honolulu	929.8900000000001
Crystal	Molina	Greensboro	929.8900000000001
Karen	Coleman	Los Angeles	929.8900000000001
Samuel	Santos	Spring Valley	929.8900000000001
Adam	Hampton	Caguas	929.8900000000001
Sharon	Ball	Caguas	929.8900000000001
Kelly	Mcbride	Caguas	929.8900000000001
Kathryn	Davis	Philadelphia	929.8900000000001
Jeremy	Smith	West Jordan	929.8900000000001
Samuel	Stephenson	Caguas	929.8900000000001
Zachary	Jones	Modesto	929.89
Mary	Smith	Caguas	929.89
Pamela	Michael	Granite City	929.89
Mary	Pacheco	Muskegon	929.89
Adam	Smith	Caguas	929.89
Russell	Smith	Stone Mountain	929.89
Mary	Lopez	Pittsfield	929.89
Mary	Smith	Middletown	929.89
Mary	Fritz	Bronx	929.89
Mary	Randall	Memphis	929.89
Brenda	Mccarthy	Caguas	929.89
Cynthia	Smith	Caguas	929.89
Elizabeth	Smith	Caguas	929.89
Kenneth	Mays	Ogden	929.89
Jessica	Weber	Caguas	929.89
Sara	Rice	Caguas	929.8800000000001
Carolyn	Charles	Chesapeake	929.8800000000001
Mary	House	Memphis	929.8800000000001
Beverly	Garcia	Caguas	929.8800000000001
Ashley	Hernandez	New York	929.8800000000001
Melissa	Smith	Caguas	929.8800000000001
Cheryl	Wang	Philadelphia	929.8800000000001
Mary	Smith	Los Angeles	929.8800000000001
Mary	Perez	Caguas	929.8800000000001
Mary	Smith	Brooklyn	929.8800000000001
Ann	Moyer	Caguas	929.8800000000001
Mary	Haas	Caguas	929.8800000000001
